Region,Latitude,Longitude,VV_Change_dB,VH_Change_dB,Flood_Risk_Score,Flood_Risk_Class,Before_Date,After_Date,Satellite,Product,Source,Spatial_Resolution_m
Nagpur,21.249639,79.008067,-0.073,-0.275,1.8,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.009029,0.386,-0.55,5.5,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.009991,0.277,0.4,0.3,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.010953,-0.107,0.172,2.3,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.011915,-0.669,-0.903,4.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.012877,-0.61,-0.415,2.5,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.013839,-0.761,0.45,1.6,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.014801,-0.169,-0.207,1.6,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.015763,-0.571,-0.256,3.3,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.016725,-0.254,0.068,2.1,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.017687,-0.47,0.241,2.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.018649,-0.401,-0.114,1.1,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.019612,-0.474,-0.63,3.4,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.020574,-0.369,0.275,1.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.021536,-0.316,-0.129,2.5,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.022498,-0.365,-0.61,5.5,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.02346,-0.085,-0.241,1.2,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.024422,0.028,-0.265,4.8,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.025384,-0.627,-0.553,1.5,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.026346,-0.244,-0.393,3.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.027308,-0.418,0.116,1.9,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.02827,-0.063,0.082,2.8,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.029232,0.138,0.124,1.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.030194,-0.321,0.422,0.6,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.031156,-0.183,0.569,0.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.032118,-0.177,0.257,1.2,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.03308,-0.035,0.782,0.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.034042,-0.486,-0.139,3.2,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.035004,-0.707,-0.029,0.9,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.035966,-0.667,0.0,1.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.036928,-0.378,-0.422,1.2,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.03789,-0.03,-0.172,5.1,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
