Latitude,Longitude,B02_Blue,B03_Green,B04_Red,B08_NIR,NDVI,NDVI_Class,Satellite,Product,Scene_Date,Cloud_Cover_Percent,Grid_Size_m
21.217164,79.037388,0.146684,0.170761,0.185961,0.31213,0.255336,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217175,79.038351,0.148068,0.172601,0.190081,0.308699,0.239722,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217186,79.039315,0.15052,0.171862,0.193901,0.295544,0.209296,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217197,79.040278,0.161159,0.18543,0.214407,0.303476,0.174177,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217208,79.041241,0.190049,0.226111,0.275513,0.344422,0.113889,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217219,79.042204,0.196965,0.235795,0.289803,0.353771,0.101784,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217231,79.043167,0.18958,0.227886,0.274256,0.344565,0.117907,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217242,79.04413,0.165277,0.191678,0.220911,0.302071,0.155953,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217253,79.045093,0.193354,0.219374,0.242831,0.332889,0.157637,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217264,79.046056,0.188715,0.21097,0.235917,0.330547,0.168417,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217275,79.047019,0.194719,0.221554,0.245791,0.320022,0.133679,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217286,79.047982,0.178613,0.204334,0.226762,0.296649,0.13901,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.217297,79.048945,0.179264,0.203986,0.219069,0.31596,0.187284,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
