Latitude,Longitude,Mean_NDBI,Mean_NDVI,BuiltUp_Pixel_Count,Valid_Pixel_Count,BuiltUp_Fraction,BuiltUp_Percent,BuiltUp_Class,Scene_Date,Cloud_Cover_Percent,Satellite
21.250444270645005,79.02577252071261,0.1268,0.1135,60,100,0.6,60.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250455549709233,79.02673576001065,0.1208,0.0792,96,100,0.96,96.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250466823276813,79.02769899994276,0.117,0.0702,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250478091347734,79.02866224050864,0.1138,0.0699,93,100,0.93,93.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25048935392198,79.02962548170794,0.1094,0.0778,80,100,0.8,80.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25050061099953,79.03058872354039,0.1038,0.0891,68,100,0.68,68.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25051186258038,79.03155196600568,0.0786,0.1152,32,100,0.32,32.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.250523108664506,79.03251520910348,0.0806,0.0968,65,100,0.65,65.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250534349251897,79.0334784528335,0.0995,0.065,97,100,0.97,97.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250545584342536,79.03444169719543,0.0845,0.0914,73,100,0.73,73.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25055681393641,79.03540494218895,0.095,0.0928,72,100,0.72,72.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.2505680380335,79.03636818781375,0.0998,0.1067,60,100,0.6,60.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250579256633795,79.03733143406951,0.1087,0.0752,96,100,0.96,96.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25059046973728,79.03829468095597,0.1268,0.0875,88,100,0.88,88.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250601677343937,79.03925792847278,0.14,0.0852,97,100,0.97,97.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250612879453755,79.04022117661962,0.1305,0.0843,89,100,0.89,89.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250624076066714,79.04118442539622,0.1305,0.0667,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.2506352671828,79.04214767480225,0.1197,0.0729,93,100,0.93,93.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250646452802005,79.04311092483742,0.109,0.0729,82,100,0.82,82.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250657632924305,79.04407417550138,0.1158,0.0783,90,100,0.9,90.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250668807549694,79.04503742679385,0.1374,0.0695,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250679976678146,79.04600067871452,0.2028,0.0706,66,90,0.7333,73.33,High Built-up,2026-06-19,1.0,Sentinel-2
