Latitude,Longitude,NDVI_Mean,Green_Cover_Percent,Green_Cover_Area_m2,Green_Cover_Area_ha,Green_Cover_Class,B04_Red_Mean,B08_NIR_Mean,NDVI_Threshold,Satellite,Product,Scene_Date,Cloud_Cover_Percent,Grid_Size_m,Data_Source
21.250167,79.00227,0.075093,0.0,0.0,0.0,No Green Cover,0.28662,0.332508,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250179,79.003233,0.162631,5.0,500.0,0.05,Low Green Cover,0.246261,0.340912,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.25019,79.004196,0.207475,13.0,1300.0,0.13,Low Green Cover,0.234067,0.354208,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250202,79.005159,0.249568,31.0,3100.0,0.31,Moderate Green Cover,0.203442,0.336285,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250213,79.006123,0.241894,31.0,3100.0,0.31,Moderate Green Cover,0.199992,0.327212,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250224,79.007086,0.190996,1.0,100.0,0.01,Low Green Cover,0.229403,0.335932,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250236,79.008049,0.147257,2.0,200.0,0.02,Low Green Cover,0.278345,0.372844,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250247,79.009012,0.134287,8.0,800.0,0.08,Low Green Cover,0.286973,0.371775,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250259,79.009975,0.098018,0.0,0.0,0.0,No Green Cover,0.306842,0.372291,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.25027,79.010939,0.061716,0.0,0.0,0.0,No Green Cover,0.318931,0.359908,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
