Latitude,Longitude,Mean_NDBI,Mean_NDVI,BuiltUp_Pixel_Count,Valid_Pixel_Count,BuiltUp_Fraction,BuiltUp_Percent,BuiltUp_Class,Scene_Date,Cloud_Cover_Percent,Satellite
21.250658,79.044074,0.1158,0.0783,90,100,0.9,90.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250669,79.045037,0.1374,0.0695,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25068,79.046001,0.2028,0.0706,66,90,0.7333,73.33,High Built-up,2026-06-19,1.0,Sentinel-2
21.248609,78.947765,0.0737,0.1525,21,100,0.21,21.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248621,78.948728,0.1132,0.1021,69,100,0.69,69.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248633,78.949691,0.1232,0.0923,79,100,0.79,79.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248645,78.950654,0.1135,0.096,74,100,0.74,74.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248656,78.951618,0.1048,0.072,96,100,0.96,96.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248668,78.952581,0.1081,0.0691,97,100,0.97,97.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24868,78.953544,0.1151,0.0704,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248691,78.954507,0.1104,0.0826,86,100,0.86,86.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248703,78.95547,0.105,0.089,84,100,0.84,84.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248715,78.956433,-0.0009,0.2445,7,100,0.07,7.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.248726,78.957397,-0.038,0.3829,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.248738,78.95836,0.0333,0.2419,26,100,0.26,26.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.24875,78.959323,0.1029,0.0958,74,100,0.74,74.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248761,78.960286,0.0754,0.1267,36,100,0.36,36.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248773,78.961249,0.0419,0.1692,6,100,0.06,6.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.248785,78.962213,0.0281,0.1769,2,100,0.02,2.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.248796,78.963176,0.0991,0.0854,69,100,0.69,69.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248808,78.964139,0.0685,0.1269,60,100,0.6,60.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24882,78.965102,0.1063,0.0775,90,100,0.9,90.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248831,78.966065,0.0901,0.0993,63,100,0.63,63.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248843,78.967029,0.1073,0.0799,87,100,0.87,87.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248855,78.967992,0.0988,0.0727,90,100,0.9,90.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248866,78.968955,0.1028,0.081,94,100,0.94,94.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.248878,78.969918,0.0614,0.1723,22,100,0.22,22.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248889,78.970881,0.0389,0.1892,28,100,0.28,28.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248901,78.971845,0.0142,0.2035,30,100,0.3,30.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248912,78.972808,0.0588,0.1451,20,100,0.2,20.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248924,78.973771,-0.022,0.3098,9,100,0.09,9.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.248936,78.974734,-0.0053,0.2949,2,100,0.02,2.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.248947,78.975697,-0.0166,0.2908,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.248959,78.97666,0.0411,0.1858,4,100,0.04,4.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.24897,78.977624,0.0374,0.1883,44,100,0.44,44.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248982,78.978587,0.0751,0.1215,41,100,0.41,41.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.248993,78.97955,0.0269,0.2323,9,100,0.09,9.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249005,78.980513,0.081,0.1219,53,100,0.53,53.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249017,78.981477,0.0748,0.1519,4,100,0.04,4.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249028,78.98244,0.0858,0.1496,12,100,0.12,12.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.24904,78.983403,0.0966,0.1397,31,100,0.31,31.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249051,78.984366,0.0429,0.2353,8,100,0.08,8.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249063,78.985329,0.0585,0.1974,47,100,0.47,47.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249074,78.986293,0.0502,0.1842,32,100,0.32,32.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249086,78.987256,0.1152,0.1052,59,100,0.59,59.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249097,78.988219,0.1153,0.1387,54,100,0.54,54.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249109,78.989182,0.1047,0.1816,12,100,0.12,12.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.24912,78.990145,0.1277,0.1369,52,100,0.52,52.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249132,78.991109,0.0095,0.2859,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249143,78.992072,0.0045,0.2657,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
