osmid,highway,oneway,reversed,length,name,ref,lanes,bridge,geometry,access,maxspeed,junction,tunnel,width,Latitude,Longitude,Region
27259204,trunk,True,False,79.102875,Amravati Road,NH53,2,,"LINESTRING (79.056023 21.147477, 79.055319 21.147523, 79.055262 21.147526)",,40.0,,,,21.147502,79.055643,Central
463143571,tertiary,False,True,68.123652,,,,,"LINESTRING (79.056023 21.147477, 79.056066 21.147285, 79.056197 21.146886)",,,,,,21.14718,79.056104,Central
27108286,secondary,False,True,10.12992,,,,,"LINESTRING (79.04081 21.149051, 79.04081 21.149142)",,,,,,21.149097,79.04081,West
28088476,secondary,True,False,198.108961,Ambazari Road,,2,,"LINESTRING (79.04081 21.149051, 79.040821 21.149041, 79.040914 21.148956, 79.041845 21.147558)",,,,,,21.148314,79.04134,West
"[868948233, 217449775]","['primary', 'trunk']",True,False,637.387153,Amravati Road,NH53,2,,"LINESTRING (79.04081 21.149051, 79.040803 21.149052, 79.040489 21.149086, 79.039214 21.149246, 79.039102 21.149263, 79.03855 21.149343, 79.036198 21.149629, 79.035229 21.149672, 79.034707 21.149696)",,,,,,21.149419,79.037763,West
1188329215,trunk,True,False,31.291103,Amravati Road,NH53,2,,"LINESTRING (79.07442 21.145248, 79.074708 21.145166)",,,,,,21.145207,79.074564,Central
1354632785,tertiary,True,False,8.441786,Maharajbagh road,,,,"LINESTRING (79.07442 21.145248, 79.074404 21.145174)",,,,,,21.145211,79.074412,Central
503955390,trunk,True,False,44.000773,Umred Road,NH353D,,,"LINESTRING (79.136742 21.10992, 79.137075 21.109676)",,,,,,21.109798,79.136908,East
371855328,residential,False,True,53.012353,,,,,"LINESTRING (79.136742 21.10992, 79.13701 21.110221, 79.137086 21.110268)",,,,,,21.110102,79.136907,East
307138241,residential,False,False,23.711369,,,,,"LINESTRING (79.12903 21.152626, 79.129015 21.152413)",,,,,,21.15252,79.129023,East
307138241,residential,False,True,9.350292,,,,,"LINESTRING (79.12903 21.152626, 79.129048 21.152708)",,,,,,21.152667,79.129039,East
308770484,trunk,True,False,206.134293,Old Bhandara Road,NH53,1,,"LINESTRING (79.12903 21.152626, 79.127076 21.152964)",yes,20.0,,,,21.152795,79.128053,East
503754948,residential,False,True,27.182975,,,,,"LINESTRING (79.151918 21.150842, 79.151945 21.151086)",,,,,,21.150964,79.151931,East
1219552805,trunk_link,True,False,127.004735,Old Bhandara Road,NH53,1,,"LINESTRING (79.151918 21.150842, 79.150701 21.150969)",yes,20.0,,,,21.150906,79.151309,East
503754948,residential,False,False,288.474269,,,,,"LINESTRING (79.151918 21.150842, 79.151904 21.150762, 79.151506 21.150817, 79.151168 21.150864, 79.15068 21.150881, 79.150141 21.150874, 79.149908 21.150795, 79.149693 21.150633, 79.149588 21.150556, 79.149507 21.150514, 79.14935 21.150448)",,,,,,21.150787,79.150628,East
503740294,secondary,True,False,6.218179,Nandanvan Main Road,,2,,"LINESTRING (79.117743 21.154206, 79.117753 21.154261)",,,,,,21.154233,79.117748,Central
308770484,trunk,True,False,38.472183,Old Bhandara Road,NH53,1,,"LINESTRING (79.117743 21.154206, 79.117504 21.154223, 79.117374 21.154242)",yes,20.0,,,,21.154221,79.117558,Central
503553882,secondary,True,False,56.324374,,,,,"LINESTRING (79.114817 21.154565, 79.114935 21.155059)",,,,,,21.154812,79.114876,Central
503742291,trunk,False,True,10.690946,Old Bhandara Road,NH53,1,,"LINESTRING (79.114817 21.154565, 79.114918 21.154542)",yes,20.0,,,,21.154553,79.114867,Central
1190971274,trunk,False,False,42.405588,Old Bhandara Road,NH53,1,,"LINESTRING (79.114817 21.154565, 79.114409 21.154556)",yes,20.0,,,,21.15456,79.114613,Central
372020284,residential,False,False,63.246189,,,,,"LINESTRING (79.112215 21.154422, 79.111817 21.15399)",,,,,,21.154206,79.112016,Central
1190971274,trunk,False,False,96.302784,Old Bhandara Road,NH53,1,,"LINESTRING (79.112215 21.154422, 79.111923 21.154492, 79.111735 21.154538, 79.111494 21.154581, 79.111308 21.1546)",yes,20.0,,,,21.154523,79.111764,Central
1190971274,trunk,False,True,30.797258,Old Bhandara Road,NH53,1,,"LINESTRING (79.112215 21.154422, 79.112432 21.154394, 79.112509 21.154403)",yes,20.0,,,,21.154405,79.112362,Central
1190971274,trunk,False,True,3.243489,Old Bhandara Road,NH53,1,,"LINESTRING (79.110901 21.15464, 79.110932 21.154637)",yes,20.0,,,,21.154638,79.110917,Central
1536794611,tertiary,False,True,19.561793,Kelibag Road,,,,"LINESTRING (79.110901 21.15464, 79.110859 21.154468)",,,,,,21.154554,79.11088,Central
1190971274,trunk,False,False,11.933106,Old Bhandara Road,NH53,1,,"LINESTRING (79.110901 21.15464, 79.11082 21.154654, 79.110788 21.154658)",yes,20.0,,,,21.15465,79.110845,Central
143281434,tertiary,False,False,38.919726,,,,,"LINESTRING (79.106699 21.154697, 79.106577 21.155028)",,,,,,21.154863,79.106638,Central
143281434,tertiary,False,True,16.386525,,,,,"LINESTRING (79.106699 21.154697, 79.106742 21.154555)",,,,,,21.154626,79.10672,Central
1190971274,trunk,False,False,119.442177,Old Bhandara Road,NH53,1,,"LINESTRING (79.106699 21.154697, 79.106455 21.154611, 79.106222 21.154569, 79.105856 21.154557, 79.105568 21.154552)",yes,20.0,,,,21.154587,79.106141,Central
1190971274,trunk,False,True,58.285927,Old Bhandara Road,NH53,1,,"LINESTRING (79.106699 21.154697, 79.106901 21.154766, 79.107082 21.154787, 79.107245 21.154802)",yes,20.0,,,,21.154765,79.106968,Central
503677831,secondary,True,False,47.98785,,,,,"LINESTRING (79.104062 21.154372, 79.104054 21.15394)",,,,,,21.154156,79.104058,Central
1190971274,trunk,False,False,5.898411,Old Bhandara Road,NH53,1,,"LINESTRING (79.104062 21.154372, 79.104005 21.154368)",yes,20.0,,,,21.15437,79.104033,Central
1190971274,trunk,False,True,34.198958,Old Bhandara Road,NH53,1,,"LINESTRING (79.104062 21.154372, 79.104383 21.154441)",yes,20.0,,,,21.154406,79.104222,Central
44444603,tertiary,False,False,75.452537,,,,,"LINESTRING (79.096243 21.153359, 79.096259 21.154037)",,,,,,21.153698,79.096251,Central
44444603,tertiary,False,True,37.854128,,,,,"LINESTRING (79.096243 21.153359, 79.096022 21.153087)",,,,,,21.153223,79.096133,Central
1190971274,trunk,False,False,82.010299,Old Bhandara Road,NH53,1,,"LINESTRING (79.096243 21.153359, 79.095452 21.153376)",yes,20.0,,,,21.153367,79.095848,Central
1190971274,trunk,False,True,84.785448,Old Bhandara Road,NH53,1,,"LINESTRING (79.096243 21.153359, 79.096991 21.153391, 79.09706 21.153396)",yes,20.0,,,,21.153377,79.096651,Central
1190971274,trunk,False,True,24.006341,Old Bhandara Road,NH53,1,,"LINESTRING (79.095221 21.153385, 79.095452 21.153376)",yes,20.0,,,,21.153381,79.095337,Central
"[992482176, 992482177]",residential,False,False,99.398696,,,,,"LINESTRING (79.095221 21.153385, 79.095294 21.15319, 79.095441 21.153161, 79.096022 21.153087)",,,,,,21.15317,79.095565,Central
"[1190971274, 1295973255]",trunk,False,False,142.624633,Old Bhandara Road,NH53,1,,"LINESTRING (79.095221 21.153385, 79.094284 21.153365, 79.094242 21.153364, 79.094154 21.153362, 79.093945 21.153354, 79.093941 21.153261)",yes,20.0,,,,21.153366,79.094537,Central
"[766186129, 1303814430]",primary,True,False,105.377458,,,2,yes,"LINESTRING (79.088362 21.153501, 79.088213 21.153458, 79.087537 21.15347, 79.087353 21.153472)",,,,,,21.153468,79.087861,Central
1162084435,trunk,True,False,392.502229,,,,yes,"LINESTRING (79.088362 21.153501, 79.087829 21.153557, 79.087487 21.153556, 79.087098 21.15357, 79.086803 21.153603, 79.086208 21.153771, 79.085548 21.153981, 79.084696 21.154254)",,,,,,21.153769,79.086506,Central
27168400,primary,True,False,14.885572,RBI Road,,,,"LINESTRING (79.084437 21.154281, 79.084545 21.15437)",,,,,,21.154326,79.084491,Central
290737208,primary,True,False,244.814906,Kingsway Road,,2,,"LINESTRING (79.084437 21.154281, 79.08395 21.154507, 79.082998 21.154953, 79.082426 21.15523, 79.08237 21.155314)",,,,,,21.154776,79.083383,Central
1298756989,secondary,False,True,12.9695,,,,,"LINESTRING (79.079722 21.157175, 79.07984 21.157212)",,,,,,21.157194,79.079781,Central
1193927989,primary,True,False,38.752108,Koradi Road,NH47,2,,"LINESTRING (79.079722 21.157175, 79.079669 21.157336, 79.079635 21.157514)",,40.0,,,,21.157343,79.079673,Central
1298756989,secondary,False,False,30.48348,,,,,"LINESTRING (79.079722 21.157175, 79.079604 21.157159, 79.079476 21.157128, 79.079433 21.157128)",,,,,,21.157151,79.079577,Central
1193927989,primary,True,False,8.485611,Koradi Road,NH47,2,,"LINESTRING (79.079516 21.159085, 79.079515 21.159161)",,40.0,,,,21.159123,79.079516,Central
225372076,tertiary,True,False,55.278271,Mount Road,,,,"LINESTRING (79.079516 21.159085, 79.079186 21.159212, 79.079042 21.159306)",,,,,,21.159185,79.079273,Central
503496416,primary,True,False,8.584768,Koradi Road,NH47,,,"LINESTRING (79.079502 21.161334, 79.079503 21.161411)",,40.0,,,,21.161373,79.079502,Central
225644670,tertiary,False,True,11.898309,,,,,"LINESTRING (79.079408 21.169089, 79.079297 21.169116)",,,,,,21.169102,79.079352,Central
"[1162509209, 1287999546]",primary,True,False,217.911794,Koradi Road,NH47,,,"LINESTRING (79.079408 21.169089, 79.079252 21.168568, 79.079076 21.168057, 79.078983 21.167806, 79.078906 21.167584, 79.078826 21.167382, 79.078764 21.167225)",,,,,,21.168152,79.079101,Central
1287999543,secondary,True,False,20.758535,Pagal Khana Square,,,,"LINESTRING (79.079281 21.175326, 79.079102 21.175242)",,,,,,21.175284,79.079192,Central
1287999546,primary,True,False,126.33472,Koradi Road,NH47,,,"LINESTRING (79.079281 21.175326, 79.079188 21.175015, 79.079202 21.174561, 79.07927 21.174208)",,,,,,21.17477,79.079219,Central
1287999546,primary,True,False,99.683924,Koradi Road,NH47,,,"LINESTRING (79.079677 21.172684, 79.079802 21.172061, 79.079825 21.171948, 79.079857 21.171803)",,,,,,21.172243,79.079766,Central
22830364,primary,True,False,27.334601,Katol Road,SH248,2,,"LINESTRING (79.070141 21.170834, 79.069878 21.170849)",,,,,,21.170842,79.070009,Central
738123225,primary,True,False,11.420299,,,,,"LINESTRING (79.070141 21.170834, 79.070114 21.170933)",,,,,,21.170884,79.070127,Central
1119416881,residential,False,False,9.573547,Gittikhadan road,,,,"LINESTRING (79.060592 21.17322, 79.06061 21.173304)",,,,,,21.173262,79.060601,North
22830364,primary,True,False,190.978096,Katol Road,SH248,2,,"LINESTRING (79.060592 21.17322, 79.059491 21.173506, 79.059193 21.173636, 79.058856 21.173779)",,,,,,21.173469,79.059712,North
22830364,primary,True,False,185.143569,Katol Road,SH248,2,,"LINESTRING (79.049942 21.17656, 79.048321 21.17726)",,,,,,21.17691,79.049132,West
143748501,residential,False,False,158.141669,,,,,"LINESTRING (79.049942 21.17656, 79.04969 21.175157)",,,,,,21.175858,79.049816,West
143748501,residential,False,True,12.017833,,,,,"LINESTRING (79.049942 21.17656, 79.050003 21.176652)",,,,,,21.176606,79.049972,West
22830364,primary,True,False,8.363783,Katol Road,SH248,2,,"LINESTRING (79.045992 21.1783, 79.045919 21.178333)",,,,,,21.178317,79.045955,West
866272098,residential,True,False,73.952767,,,,,"LINESTRING (79.045992 21.1783, 79.045678 21.177703)",,,,,,21.178002,79.045835,West
505242451,secondary,True,False,9.481453,North Ambazari Road,,,,"LINESTRING (79.066022 21.137044, 79.066109 21.13707)",,,,,,21.137057,79.066066,Central
505251356,tertiary,False,False,9.823287,,,,,"LINESTRING (79.066022 21.137044, 79.066051 21.13696)",,,,,,21.137002,79.066037,Central
27119053,tertiary,True,False,133.702647,,,,,"LINESTRING (79.066022 21.137044, 79.06587 21.137438, 79.065806 21.137675, 79.065666 21.138198)",,,,,,21.137617,79.06583,Central
27210673,residential,False,True,148.149132,,,,,"LINESTRING (79.064326 21.136669, 79.064157 21.137992)",,,,,,21.13733,79.064241,Central
505242451,secondary,True,False,181.007666,North Ambazari Road,,,,"LINESTRING (79.064326 21.136669, 79.065348 21.136861, 79.06539 21.136869, 79.066022 21.137044)",,,,,,21.13684,79.065178,Central
27210641,residential,False,True,148.101494,,,,,"LINESTRING (79.063502 21.136557, 79.06331 21.137876)",,,,,,21.137217,79.063406,Central
