osmid,highway,oneway,reversed,length,name,ref,lanes,bridge,geometry,access,maxspeed,junction,tunnel,width,Latitude,Longitude,Region
314708570,residential,False,True,124.54082360499153,,,,,"LINESTRING (79.077505 21.170291, 79.07761 21.170386, 79.077642 21.170526, 79.07765 21.17076, 79.077001 21.170738)",,,,,,21.170639766925692,79.07745909703674,Central
314125404,residential,False,True,76.3159556117859,,,,,"LINESTRING (79.051885 21.163403, 79.051473 21.163413, 79.051179 21.163541)",,,,,,21.163438456548086,79.05152369747518,West
314125384,tertiary,False,False,33.547460031550365,,,,,"LINESTRING (79.076845 21.163414, 79.076521 21.163425)",,,,,,21.16341915007776,79.07668304999935,Central
314125384,tertiary,False,True,66.88429949169668,,,,,"LINESTRING (79.076845 21.163414, 79.076857 21.164015)",,,,,,21.163714300004223,79.07685070001419,Central
766067700,residential,False,False,104.04666552947691,,,,,"LINESTRING (79.076845 21.163414, 79.077835 21.163262)",,,,,,21.163338000744638,79.07733980019053,Central
314125402,tertiary,False,True,10.742168199002073,,,,,"LINESTRING (79.079558 21.169723, 79.079457 21.169746)",,,,,,21.169734550007806,79.07950780000317,Central
1287999546,primary,True,False,62.47434372568839,Koradi Road,NH47,,,"LINESTRING (79.079558 21.169723, 79.079431 21.169174)",,,,,,21.169448850007274,79.07949439990306,Central
314125384,tertiary,False,False,66.88429949169668,,,,,"LINESTRING (79.076857 21.164015, 79.076845 21.163414)",,,,,,21.163714300004223,79.07685070001419,Central
314125384,tertiary,False,True,91.33624448961884,,,,,"LINESTRING (79.076857 21.164015, 79.076881 21.164478, 79.076902 21.164493, 79.076983 21.164508, 79.077138 21.164528, 79.077256 21.164525)",,,,,,21.16436356572586,79.07695481725891,Central
992440302,residential,False,False,43.014061557987574,,,,,"LINESTRING (79.076857 21.164015, 79.076999 21.164028, 79.077138 21.164018, 79.077213 21.164018, 79.077251 21.164058)",,,,,,21.164023469181334,79.07706194723018,Central
314125384,tertiary,False,True,33.547460031550365,,,,,"LINESTRING (79.076521 21.163425, 79.076845 21.163414)",,,,,,21.16341915007776,79.07668304999935,Central
